relation_id,from_object,to_object,relation_type,canonical_cluster_id,generation_assignment_id,ontology_edge_created,formal_ontology_edge_allowed,relation_status,human_review_required
SCM120-A012-REL-03,挂通色组收到三色内,画面张力,约束锚点换取取舍表达,mkc_010,SCM120-A012,false,false,design_hint_not_ontology_edge,true
SCM120-A013-REL-01,身体效果承诺区,观察语言改写,改写降级,mkc_011,SCM120-A013,false,false,design_hint_not_ontology_edge,true
SCM120-A013-REL-02,身份与背书区,命名事实槽位,留槽待补,mkc_011,SCM120-A013,false,false,design_hint_not_ontology_edge,true
SCM120-A013-REL-03,敏感承诺表达,能拍板的人复核,送审路由,mkc_011,SCM120-A013,false,false,design_hint_not_ontology_edge,true
SCM120-A014-REL-01,更显瘦,腰线位置与裤缝走向的可观察描述,降级改写为,mkc_011,SCM120-A014,false,false,design_hint_not_ontology_edge,true
SCM120-A014-REL-02,员工经历,角色事实授权槽位,缺授权则挂起为,mkc_011,SCM120-A014,false,false,design_hint_not_ontology_edge,true
SCM120-A014-REL-03,门店事件,能拍板者复核,路由至,mkc_011,SCM120-A014,false,false,design_hint_not_ontology_edge,true
SCM120-A015-REL-01,功效话术(更显瘦/更耐穿),当场可观察描述(腰线/袖口/手感),无出处时降级为,mkc_011,SCM120-A015,false,false,design_hint_not_ontology_edge,true
SCM120-A015-REL-02,奖项/排名/认证/员工经历/门店事件,显式命名槽位,缺出处或授权时改写为,mkc_011,SCM120-A015,false,false,design_hint_not_ontology_edge,true
SCM120-A015-REL-03,顾客反馈叙述,本人露脸授权,依赖于,mkc_011,SCM120-A015,false,false,design_hint_not_ontology_edge,true
SCM120-A016-REL-01,系列轴,场景任务序列,决定顺序,mkc_012,SCM120-A016,false,false,design_hint_not_ontology_edge,true
SCM120-A016-REL-02,去重复机制,品类角色轮换,触发,mkc_012,SCM120-A016,false,false,design_hint_not_ontology_edge,true
SCM120-A016-REL-03,风衣,图文与短视频形态,跨形态复用,mkc_012,SCM120-A016,false,false,design_hint_not_ontology_edge,true
SCM120-A017-REL-01,系列轴与跨形态资产单元,成批同源内容,applicable_when,mkc_012,SCM120-A017,false,false,design_hint_not_ontology_edge,true
SCM120-A017-REL-02,品类角色,序列发言次序,determines,mkc_012,SCM120-A017,false,false,design_hint_not_ontology_edge,true
SCM120-A017-REL-03,去重复机制,相邻单元切入点,constrains,mkc_012,SCM120-A017,false,false,design_hint_not_ontology_edge,true
SCM120-A018-REL-01,系列轴与跨形态资产单元,成批同源内容,requires_precondition,mkc_012,SCM120-A018,false,false,design_hint_not_ontology_edge,true
SCM120-A018-REL-02,序列编排逻辑与去重复机制,相邻资产单元切入点去重,enforces,mkc_012,SCM120-A018,false,false,design_hint_not_ontology_edge,true
SCM120-A018-REL-03,无源成交与上新排期硬结论,命名槽位,downgrades_to,mkc_012,SCM120-A018,false,false,design_hint_not_ontology_edge,true
SCM120-A019-REL-01,角色发声寄存器,主语选择与叙述站位,sets_basis_for,mkc_013,SCM120-A019,false,false,design_hint_not_ontology_edge,true
SCM120-A019-REL-02,动作词观察词解释词边界,硬结论降级为可观察描述,enables,mkc_013,SCM120-A019,false,false,design_hint_not_ontology_edge,true
SCM120-A019-REL-03,导购视角,解释词承诺,must_not_use,mkc_013,SCM120-A019,false,false,design_hint_not_ontology_edge,true
SCM120-A020-REL-01,搭配师视角,第一人称职业口吻,叙述站位决定口吻,mkc_013,SCM120-A020,false,false,design_hint_not_ontology_edge,true
SCM120-A020-REL-02,动作词观察词解释词边界,看到与猜到分离,分词守界降低猜测风险,mkc_013,SCM120-A020,false,false,design_hint_not_ontology_edge,true
SCM120-A020-REL-03,角色发声寄存器,真实叙述者存在,适用前提约束,mkc_013,SCM120-A020,false,false,design_hint_not_ontology_edge,true
SCM120-A021-REL-01,搭配师视角,观察词与动作词优先,voice_selects_lexicon,mkc_013,SCM120-A021,false,false,design_hint_not_ontology_edge,true
SCM120-A021-REL-02,无源硬结论,可观察描述,downgrades_to,mkc_013,SCM120-A021,false,false,design_hint_not_ontology_edge,true
SCM120-A021-REL-03,真名真职务门店引述,剔除或缺来源标记,routes_to,mkc_013,SCM120-A021,false,false,design_hint_not_ontology_edge,true
SCM120-A022-REL-01,语气强度,场景强度,calibrated_to_match,mkc_014,SCM120-A022,false,false,design_hint_not_ontology_edge,true
SCM120-A022-REL-02,高风险断言,限制语,downgraded_by,mkc_014,SCM120-A022,false,false,design_hint_not_ontology_edge,true
SCM120-A022-REL-03,不可写的真人痕迹,允许的人设表面层,excluded_to_keep,mkc_014,SCM120-A022,false,false,design_hint_not_ontology_edge,true
SCM120-A023-REL-01,懂行的讲解者口吻,去人物化改写,role_voice_enables,mkc_014,SCM120-A023,false,false,design_hint_not_ontology_edge,true
SCM120-A023-REL-02,语气强度,场景强度,must_match,mkc_014,SCM120-A023,false,false,design_hint_not_ontology_edge,true
SCM120-A023-REL-03,高风险断言,降调与限制语,guarded_by,mkc_014,SCM120-A023,false,false,design_hint_not_ontology_edge,true
SCM120-A024-REL-01,高风险断言,降调与限制语,requires_before,mkc_014,SCM120-A024,false,false,design_hint_not_ontology_edge,true
SCM120-A024-REL-02,无源效果或耐用断言,待补证据槽,routed_to,mkc_014,SCM120-A024,false,false,design_hint_not_ontology_edge,true
SCM120-A024-REL-03,语气强度,场景强度,must_match,mkc_014,SCM120-A024,false,false,design_hint_not_ontology_edge,true
SCM120-A025-REL-01,观察接口,内容职责,constrains,mkc_015,SCM120-A025,false,false,design_hint_not_ontology_edge,true
SCM120-A025-REL-02,角色功能层级,不同角色的信息颗粒度,determines,mkc_015,SCM120-A025,false,false,design_hint_not_ontology_edge,true
SCM120-A025-REL-03,组织生态角色网格,公开可复用的生态视角,aggregates_into,mkc_015,SCM120-A025,false,false,design_hint_not_ontology_edge,true
SCM120-A026-REL-01,导购视角,上身细颗粒（袖长与领口）,适合讲述,mkc_015,SCM120-A026,false,false,design_hint_not_ontology_edge,true
SCM120-A026-REL-02,陈列师视角,整墙色块与廓形重心,适合讲述,mkc_015,SCM120-A026,false,false,design_hint_not_ontology_edge,true
SCM120-A026-REL-03,角色功能层级,内容职责与观察接口,配套界定,mkc_015,SCM120-A026,false,false,design_hint_not_ontology_edge,true
SCM120-A027-REL-01,角色功能层级,信息颗粒度,决定内容粗细,mkc_015,SCM120-A027,false,false,design_hint_not_ontology_edge,true
SCM120-A027-REL-02,观察接口,公开表达,转化为对外话术,mkc_015,SCM120-A027,false,false,design_hint_not_ontology_edge,true
SCM120-A027-REL-03,组织生态角色网格,内容职责,按角色分派,mkc_015,SCM120-A027,false,false,design_hint_not_ontology_edge,true
SCM120-A028-REL-01,焦糖色灯芯绒阔腿裤(同一展示对象),买手代号|门口位置上的东西|镜头主角(角色称呼),renamed_across_roles_requires_registration,mkc_016,SCM120-A028,false,false,design_hint_not_ontology_edge,true
SCM120-A028-REL-02,视角切换与安全边界机制,内部运营信息外发,forbidden_when_externalizing,mkc_016,SCM120-A028,false,false,design_hint_not_ontology_edge,true
SCM120-A028-REL-03,无源硬结论(显瘦|百搭|耐穿),可验视觉描述或【待补槽】,downgraded_to,mkc_016,SCM120-A028,false,false,design_hint_not_ontology_edge,true
SCM120-A029-REL-01,视角切换与安全边界机制,单品跨多岗位视角流转,applicable_when,mkc_016,SCM120-A029,false,false,design_hint_not_ontology_edge,true
SCM120-A029-REL-02,视角切换与安全边界机制,内部运营信息直接外发,forbidden_when,mkc_016,SCM120-A029,false,false,design_hint_not_ontology_edge,true
SCM120-A029-REL-03,未上身验证的耐穿硬结论,实测证据待补槽位,degraded_to,mkc_016,SCM120-A029,false,false,design_hint_not_ontology_edge,true
SCM120-A030-REL-01,视角切换,事实门槛,does_not_lower,mkc_016,SCM120-A030,false,false,design_hint_not_ontology_edge,true
SCM120-A030-REL-02,内部运营数据,公开安全面,cut_off_before_reaching,mkc_016,SCM120-A030,false,false,design_hint_not_ontology_edge,true
SCM120-A030-REL-03,未证硬结论,待补证据槽,routed_to_when_unverifiable,mkc_016,SCM120-A030,false,false,design_hint_not_ontology_edge,true
SCM120-A031-REL-01,知识距离,讲解起点与深浅,determines,mkc_017,SCM120-A031,false,false,design_hint_not_ontology_edge,true
SCM120-A031-REL-02,互动强度,信息密度,regulates,mkc_017,SCM120-A031,false,false,design_hint_not_ontology_edge,true
SCM120-A031-REL-03,受众阶段（新客/熟客）,细节比较的展开程度,maps_to,mkc_017,SCM120-A031,false,false,design_hint_not_ontology_edge,true
SCM120-A032-REL-01,顾客离这件外套有多远决定从哪一层讲起,新客只给一句站着能照做的搭法、熟客才递驳头开衩这,设计提示,mkc_017,SCM120-A032,false,false,design_hint_not_ontology_edge,true
SCM120-A032-REL-02,连对方翻看还是要拿主意都摸不准,先不定深浅，宁可退半档讲浅,设计提示,mkc_017,SCM120-A032,false,false,design_hint_not_ontology_edge,true
SCM120-A033-REL-01,受众距离与信息深浅轴,decision stage,applicable_when_stage_identifiable,mkc_017,SCM120-A033,false,false,design_hint_not_ontology_edge,true
SCM120-A033-REL-02,信息深浅,停留时长与互动热度,density_adjusted_by,mkc_017,SCM120-A033,false,false,design_hint_not_ontology_edge,true
SCM120-A033-REL-03,深浅轴,顾客真实身份/消费记录/偏好,must_not_modify_routes_to_named_slot,mkc_017,SCM120-A033,false,false,design_hint_not_ontology_edge,true
SCM120-A034-REL-01,冷层只报事实的开头,温层带场景人味的升温,情绪温度逐档递进前置,mkc_018,SCM120-A034,false,false,design_hint_not_ontology_edge,true
SCM120-A034-REL-02,强证据信号的硬结论,降级表达或待补依据空位,无源硬话降级路由,mkc_018,SCM120-A034,false,false,design_hint_not_ontology_edge,true
SCM120-A034-REL-03,缺失的品牌与角色事实,命名的空位占位,缺口挂载不虚构,mkc_018,SCM120-A034,false,false,design_hint_not_ontology_edge,true
SCM120-A035-REL-01,想写一冬天不松垮这类会被当真的硬话,手上没证据就不许上屏,设计提示,mkc_018,SCM120-A035,false,false,design_hint_not_ontology_edge,true
SCM120-A035-REL-02,缺的材质与实测,写成命名槽位当待补依据挂起，绝不编数字填,设计提示,mkc_018,SCM120-A035,false,false,design_hint_not_ontology_edge,true
SCM120-A036-REL-01,结果承诺与横向对比,信任门控,触发,mkc_018,SCM120-A036,false,false,design_hint_not_ontology_edge,true
SCM120-A036-REL-02,强证据信号,确定性禁区,归入,mkc_018,SCM120-A036,false,false,design_hint_not_ontology_edge,true
SCM120-A036-REL-03,情绪温度分层,低风险信任信号,服务于建立可信度,mkc_018,SCM120-A036,false,false,design_hint_not_ontology_edge,true
SCM120-A037-REL-01,脚本想用十年经手上万件的履历镇场,撤掉，那属替人贴身份、给品牌默认背书的越权表述,设计提示,mkc_019,SCM120-A037,false,false,design_hint_not_ontology_edge,true
SCM120-A037-REL-02,真实年限经历与成分定位,写成命名槽位，须授权后才填,设计提示,mkc_019,SCM120-A037,false,false,design_hint_not_ontology_edge,true
SCM120-A038-REL-01,熟客真名与过往职务,常来的客人匿名描述,去授权化改写,mkc_019,SCM120-A038,false,false,design_hint_not_ontology_edge,true
SCM120-A038-REL-02,搭配师保证显瘦效果,可说的方法层穿法描述,越权表述拆解,mkc_019,SCM120-A038,false,false,design_hint_not_ontology_edge,true
SCM120-A038-REL-03,缺失的面料成分与克重,命名事实槽位,留槽待补不虚构,mkc_019,SCM120-A038,false,false,design_hint_not_ontology_edge,true
SCM120-A039-REL-01,功能角色对效果的保证,默认背书的危险信号,is_a,mkc_019,SCM120-A039,false,false,design_hint_not_ontology_edge,true
SCM120-A039-REL-02,耐穿硬结论,待补证据槽,downgraded_to,mkc_019,SCM120-A039,false,false,design_hint_not_ontology_edge,true
SCM120-A039-REL-03,越权表述,去授权化,remediated_by,mkc_019,SCM120-A039,false,false,design_hint_not_ontology_edge,true
SCM120-A040-REL-01,结构定位,属性槽位展开,前置顺序,mkc_020,SCM120-A040,false,false,design_hint_not_ontology_edge,true
SCM120-A040-REL-02,品类说明,销售话术,内容切断,mkc_020,SCM120-A040,false,false,design_hint_not_ontology_edge,true
SCM120-A040-REL-03,无源硬结论,证据待补槽位,降级挂载,mkc_020,SCM120-A040,false,false,design_hint_not_ontology_edge,true
SCM120-A041-REL-01,品类分层骨架,属性槽位逐层展开,sequence_before,mkc_020,SCM120-A041,false,false,design_hint_not_ontology_edge,true
SCM120-A041-REL-02,无源硬结论,显式证据槽位,downgrade_to,mkc_020,SCM120-A041,false,false,design_hint_not_ontology_edge,true
SCM120-A041-REL-03,在售事实缺失,品类/属性/边界三层封顶,bounded_by,mkc_020,SCM120-A041,false,false,design_hint_not_ontology_edge,true
SCM120-A042-REL-01,上装/下装/连衣类/外搭类抽象品类分层,面料/材质等通用属性槽位,品类分层下挂载属性槽位,mkc_020,SCM120-A042,false,false,design_hint_not_ontology_edge,true
SCM120-A042-REL-02,耐穿/显瘦/高级硬结论,可观察的肌理厚度垂坠描述,无源硬结论降级为可观察表达,mkc_020,SCM120-A042,false,false,design_hint_not_ontology_edge,true
SCM120-A042-REL-03,成分与克重等单品事实,显式证据槽位,缺事实挂成待补证据槽位,mkc_020,SCM120-A042,false,false,design_hint_not_ontology_edge,true
SCM120-A043-REL-01,可观察且口径一致的维度,直接差异描述,可直接呈现为,mkc_021,SCM120-A043,false,false,design_hint_not_ontology_edge,true
SCM120-A043-REL-02,耐穿/保暖/显瘦/更高档结论,待补证据槽位,无源时降级挂载到,mkc_021,SCM120-A043,false,false,design_hint_not_ontology_edge,true
SCM120-A043-REL-03,使用场景引导,观众自判'更好',转化为内容钩子,mkc_021,SCM120-A043,false,false,design_hint_not_ontology_edge,true
SCM120-A044-REL-01,可见工艺特写,同类之间可比的维度,内容化钩子支撑,mkc_021,SCM120-A044,false,false,design_hint_not_ontology_edge,true
SCM120-A044-REL-02,不可直接比较的维度,证据槽位待补,降级挂起,mkc_021,SCM120-A044,false,false,design_hint_not_ontology_edge,true
SCM120-A044-REL-03,读者的效果性能决定,证据到位要求,触发条件,mkc_021,SCM120-A044,false,false,design_hint_not_ontology_edge,true
SCM120-A045-REL-01,可见工艺,同类之间可比的维度,作为镜头前当场可验证证据,mkc_021,SCM120-A045,false,false,design_hint_not_ontology_edge,true
SCM120-A045-REL-02,保暖耐穿结论,待补证据槽位,无源时降级挂载,mkc_021,SCM120-A045,false,false,design_hint_not_ontology_edge,true
SCM120-A045-REL-03,使用场景,长度与厚薄的优先比较项,决定先比哪一项,mkc_021,SCM120-A045,false,false,design_hint_not_ontology_edge,true
SCM120-A046-REL-01,面料结构差异,可观察手感与外观,解释入口,mkc_022,SCM120-A046,false,false,design_hint_not_ontology_edge,true
SCM120-A046-REL-02,纤维/纱线/面料层级,描述落点,前置定位,mkc_022,SCM120-A046,false,false,design_hint_not_ontology_edge,true
SCM120-A046-REL-03,手感词,事实词,边界划分,mkc_022,SCM120-A046,false,false,design_hint_not_ontology_edge,true
SCM120-A047-REL-01,梭织衬衫,针织开衫,对照展示,mkc_022,SCM120-A047,false,false,design_hint_not_ontology_edge,true
SCM120-A047-REL-02,面料结构差异,手感与外观描述,解释入口,mkc_022,SCM120-A047,false,false,design_hint_not_ontology_edge,true
SCM120-A047-REL-03,保暖话术,检测证据槽位,降级挂待补,mkc_022,SCM120-A047,false,false,design_hint_not_ontology_edge,true
SCM120-A048-REL-01,手感词,事实词,边界划分需降级,mkc_022,SCM120-A048,false,false,design_hint_not_ontology_edge,true
SCM120-A048-REL-02,可观察结构线索,性能结论,不可直接外推,mkc_022,SCM120-A048,false,false,design_hint_not_ontology_edge,true
SCM120-A048-REL-03,保暖话术,待补证据槽,无源时路由挂起,mkc_022,SCM120-A048,false,false,design_hint_not_ontology_edge,true
SCM120-A049-REL-01,ColorDescription,ObservationLightCondition,requires_declared_condition,mkc_023,SCM120-A049,false,false,design_hint_not_ontology_edge,true
SCM120-A049-REL-02,ColorBasicDimension_色相明度纯度,ColorFamilyClassification,provides_basis_for,mkc_023,SCM120-A049,false,false,design_hint_not_ontology_edge,true
SCM120-A049-REL-03,BodyEffectClaim_显白显气色,EvidenceSlot_上身效果,downgraded_and_routed_to,mkc_023,SCM120-A049,false,false,design_hint_not_ontology_edge,true
SCM120-A050-REL-01,观察光线环境,颜色描述,前置限定条件,mkc_023,SCM120-A050,false,false,design_hint_not_ontology_edge,true
SCM120-A050-REL-02,颜色氛围故事,显白显瘦更高档等效果承诺,内容边界切断,mkc_023,SCM120-A050,false,false,design_hint_not_ontology_edge,true
SCM120-A050-REL-03,成分色名与颜色牢度硬事实,证据槽位,挂起待佐证,mkc_023,SCM120-A050,false,false,design_hint_not_ontology_edge,true
SCM120-A051-REL-01,砖红色灯芯绒衬衫的颜色描述,显瘦/显白/更高档效果结论,boundary_cutoff_效果承诺切断,mkc_023,SCM120-A051,false,false,design_hint_not_ontology_edge,true
SCM120-A051-REL-02,无源上身效果结论,【上身效果】待补证据槽位,downgraded_to_evidence_slot_挂为缺来源,mkc_023,SCM120-A051,false,false,design_hint_not_ontology_edge,true
SCM120-A051-REL-03,拍摄光线(补光灯/窗光/手机镜头),颜色明度与冷暖的观感偏移,causes_触发观察提醒,mkc_023,SCM120-A051,false,false,design_hint_not_ontology_edge,true
SCM120-A052-REL-01,肩线落点,肩部走向,结构节点映射视觉结果,mkc_024,SCM120-A052,false,false,design_hint_not_ontology_edge,true
SCM120-A052-REL-02,腰线落点,上下比例与视觉重心,结构节点映射视觉结果,mkc_024,SCM120-A052,false,false,design_hint_not_ontology_edge,true
SCM120-A052-REL-03,身材效果承诺,真人上身对比证据,硬结论待证据挂载,mkc_024,SCM120-A052,false,false,design_hint_not_ontology_edge,true
SCM120-A053-REL-01,肩线内收,肩部走向,structural_node_maps_to_visual_result,mkc_024,SCM120-A053,false,false,design_hint_not_ontology_edge,true
SCM120-A053-REL-02,腰线落点,上下比例与视觉重心,structural_node_maps_to_visual_result,mkc_024,SCM120-A053,false,false,design_hint_not_ontology_edge,true
SCM120-A053-REL-03,版型术语,身材效果承诺,boundary_cut_must_not_promise_body_result,mkc_024,SCM120-A053,false,false,design_hint_not_ontology_edge,true
SCM120-A054-REL-01,版型（纸样与剪裁处理）,廓形（上台后的外部形状）,内部结构处理决定外部视觉形状,mkc_024,SCM120-A054,false,false,design_hint_not_ontology_edge,true
SCM120-A054-REL-02,腰线接缝落点,上下长度比例与视觉重心,结构节点影响可见视觉结果,mkc_024,SCM120-A054,false,false,design_hint_not_ontology_edge,true
SCM120-A054-REL-03,显高身材承诺,真人同角度上身对比照,硬结论需证据支撑方可发布,mkc_024,SCM120-A054,false,false,design_hint_not_ontology_edge,true
SCM120-A055-REL-01,可见工艺节点,讲解叙事支点,acts_as,mkc_025,SCM120-A055,false,false,design_hint_not_ontology_edge,true
SCM120-A055-REL-02,工艺名词,耐用结论,must_not_directly_infer,mkc_025,SCM120-A055,false,false,design_hint_not_ontology_edge,true
SCM120-A055-REL-03,外观→结构→细节顺序,讲解推进感,drives,mkc_025,SCM120-A055,false,false,design_hint_not_ontology_edge,true
SCM120-A056-REL-01,外观观察层,结构观察层,叙事先后_先于,mkc_025,SCM120-A056,false,false,design_hint_not_ontology_edge,true
SCM120-A056-REL-02,单处可见工艺,整体耐用结论,风险切断_不可直接外推,mkc_025,SCM120-A056,false,false,design_hint_not_ontology_edge,true
SCM120-A056-REL-03,可见工艺节点清单,讲解节点顺序,支撑,mkc_025,SCM120-A056,false,false,design_hint_not_ontology_edge,true
SCM120-A057-REL-01,可见工艺节点清单,外观→结构→细节的观察顺序,按此先后逐处讲解,mkc_025,SCM120-A057,false,false,design_hint_not_ontology_edge,true
SCM120-A057-REL-02,所以特别耐穿,面料耐磨实测证据槽位,硬结论降级挂待补,mkc_025,SCM120-A057,false,false,design_hint_not_ontology_edge,true
SCM120-A057-REL-03,门襟纽扣孔与袖口包边,商品在镜头里承担的角色,细节作证支撑非硬广故事,mkc_025,SCM120-A057,false,false,design_hint_not_ontology_edge,true
SCM120-A058-REL-01,观察词,当下可见的视觉线条变化,仅描述不下结论,mkc_026,SCM120-A058,false,false,design_hint_not_ontology_edge,true
SCM120-A058-REL-02,结果词,对身体的结果保证,构成因而默认拦截,mkc_026,SCM120-A058,false,false,design_hint_not_ontology_edge,true
SCM120-A058-REL-03,替代表达与回避表达,越界身体承诺风险,降低,mkc_026,SCM120-A058,false,false,design_hint_not_ontology_edge,true
SCM120-A059-REL-01,笔尖滑向显瘦五斤这类拿身体结果打包票的话,一概拦下不放,设计提示,mkc_026,SCM120-A059,false,false,design_hint_not_ontology_edge,true
SCM120-A059-REL-02,想往显瘦再靠一步,不硬编，挂命名槽等有据再引用,设计提示,mkc_026,SCM120-A059,false,false,design_hint_not_ontology_edge,true
SCM120-A060-REL-01,结果词,待补证据槽位,downgrade_to,mkc_026,SCM120-A060,false,false,design_hint_not_ontology_edge,true
SCM120-A060-REL-02,观察词,视觉线条描述,expressed_as,mkc_026,SCM120-A060,false,false,design_hint_not_ontology_edge,true
SCM120-A060-REL-03,竖条纹衬衫,连续线条画面,carries_role_in_scene,mkc_026,SCM120-A060,false,false,design_hint_not_ontology_edge,true
SCM120-A061-REL-01,靛蓝牛仔外套的耐磨不掉色结论,反复水洗后的褪色与磨损实测证据,requires_evidence_before_publish,mkc_027,SCM120-A061,false,false,design_hint_not_ontology_edge,true
SCM120-A061-REL-02,耐用/性能这类强断言,检测与水洗前后记录证据类别,escalates_to_harder_evidence,mkc_027,SCM120-A061,false,false,design_hint_not_ontology_edge,true
SCM120-A061-REL-03,无实测支撑的硬结论,观众可自证的可观察描述,downgrades_to,mkc_027,SCM120-A061,false,false,design_hint_not_ontology_edge,true
SCM120-A062-REL-01,写品质先把形容词按能说到哪一步排队,先辨软话硬话，再看拿什么托底,设计提示,mkc_027,SCM120-A062,false,false,design_hint_not_ontology_edge,true
SCM120-A062-REL-02,手里没料却想讲保暖耐穿,压回可观察说法并标清缺的是检测还是标准，挂证据缺,设计提示,mkc_027,SCM120-A062,false,false,design_hint_not_ontology_edge,true
SCM120-A063-REL-01,越洗越耐磨/久坐不走形硬断言,水洗测试与面料克重证据,requires_evidence,mkc_027,SCM120-A063,false,false,design_hint_not_ontology_edge,true
SCM120-A063-REL-02,面料克重单与水洗测试数据缺失,source gap 触发阈值按住硬断言,triggers,mkc_027,SCM120-A063,false,false,design_hint_not_ontology_edge,true
SCM120-A063-REL-03,上腿显高效果结论,裤线垂到鞋面的可观察剪影,downgraded_to,mkc_027,SCM120-A063,false,false,design_hint_not_ontology_edge,true
