relation_id,candidate_id,subject_ref,relation_predicate,object_ref,relation_note,contains_real_instance_fact
SEM-V3-DISPLAY-TO-CONTENT-001-REL-A,SEM-V3-DISPLAY-TO-CONTENT-001,陈列锚点转内容角度,maps_scene_task_to_narrative_device,只能使用陈列关系和可见搭配动作作为依据,陈列锚点转内容角度 通过 maps_scene_task_to_narrative_device 连接到 只能使用陈列关系和可见搭配动作作为依据,false
SEM-V3-DISPLAY-TO-CONTENT-001-REL-B,SEM-V3-DISPLAY-TO-CONTENT-001,把陈列中心解释为内容主角,translates_display_action_to_content_angle,形成从陈列主次到内容主角的转译规则,把陈列中心解释为内容主角 通过 translates_display_action_to_content_angle 连接到 形成从陈列主次到内容主角的转译规则,false
SEM-V3-DISPLAY-TO-CONTENT-002-REL-A,SEM-V3-DISPLAY-TO-CONTENT-002,试穿路径到内容顺序,maps_scene_task_to_narrative_device,可以描述试穿动作链，不得引用真实顾客结果,试穿路径到内容顺序 通过 maps_scene_task_to_narrative_device 连接到 可以描述试穿动作链，不得引用真实顾客结果,false
SEM-V3-DISPLAY-TO-CONTENT-002-REL-B,SEM-V3-DISPLAY-TO-CONTENT-002,把店内路径转成内容段落顺序,translates_display_action_to_content_angle,形成从试穿动作到内容段落的执行顺序,把店内路径转成内容段落顺序 通过 translates_display_action_to_content_angle 连接到 形成从试穿动作到内容段落的执行顺序,false
SEM-V3-DISPLAY-TO-CONTENT-003-REL-A,SEM-V3-DISPLAY-TO-CONTENT-003,组合展示转选择理由,maps_scene_task_to_narrative_device,理由必须来自可见组合关系，不能来自真实销售数据,组合展示转选择理由 通过 maps_scene_task_to_narrative_device 连接到 理由必须来自可见组合关系，不能来自真实销售数据,false
SEM-V3-DISPLAY-TO-CONTENT-003-REL-B,SEM-V3-DISPLAY-TO-CONTENT-003,把组合层级写成选择理由,translates_display_action_to_content_angle,形成可被导购和内容共同使用的选择理由,把组合层级写成选择理由 通过 translates_display_action_to_content_angle 连接到 形成可被导购和内容共同使用的选择理由,false
SEM-V3-DISPLAY-TO-CONTENT-004-REL-A,SEM-V3-DISPLAY-TO-CONTENT-004,色组陈列转叙事证据,maps_scene_task_to_narrative_device,只能说视觉层次和搭配秩序，不得声称真实偏好,色组陈列转叙事证据 通过 maps_scene_task_to_narrative_device 连接到 只能说视觉层次和搭配秩序，不得声称真实偏好,false
SEM-V3-DISPLAY-TO-CONTENT-004-REL-B,SEM-V3-DISPLAY-TO-CONTENT-004,用色组关系支撑内容叙事,translates_display_action_to_content_angle,形成色组到内容证据的转译方法,用色组关系支撑内容叙事 通过 translates_display_action_to_content_angle 连接到 形成色组到内容证据的转译方法,false
SEM-V3-DISPLAY-TO-CONTENT-005-REL-A,SEM-V3-DISPLAY-TO-CONTENT-005,货架层级转导购话术,maps_scene_task_to_narrative_device,话术只描述可见货架安排和搭配逻辑，不替代真实销售证明,货架层级转导购话术 通过 maps_scene_task_to_narrative_device 连接到 话术只描述可见货架安排和搭配逻辑，不替代真实销售证明,false
SEM-V3-DISPLAY-TO-CONTENT-005-REL-B,SEM-V3-DISPLAY-TO-CONTENT-005,把货架层级转成先后话术,translates_display_action_to_content_angle,形成从货架结构到导购表达的执行资产,把货架层级转成先后话术 通过 translates_display_action_to_content_angle 连接到 形成从货架结构到导购表达的执行资产,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-001-REL-A,SEM-V3-CONTROL-PLANE-GOVERNANCE-001,控制面规则禁止混入通用知识,maps_scene_task_to_narrative_device,控制规则需要任务授权和状态证据，不得写成服装知识,控制面规则禁止混入通用知识 通过 maps_scene_task_to_narrative_device 连接到 控制规则需要任务授权和状态证据，不得写成服装知识,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-001-REL-B,SEM-V3-CONTROL-PLANE-GOVERNANCE-001,把控制规则留在契约或状态清单,downgrades_output_when_evidence_missing,形成控制面与知识正文的隔离规则,把控制规则留在契约或状态清单 通过 downgrades_output_when_evidence_missing 连接到 形成控制面与知识正文的隔离规则,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-002-REL-A,SEM-V3-CONTROL-PLANE-GOVERNANCE-002,来源缺口触发补证工单,maps_scene_task_to_narrative_device,缺口本身不是证据，只能说明需要补证,来源缺口触发补证工单 通过 maps_scene_task_to_narrative_device 连接到 缺口本身不是证据，只能说明需要补证,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-002-REL-B,SEM-V3-CONTROL-PLANE-GOVERNANCE-002,把硬事实需求路由到来源工单,downgrades_output_when_evidence_missing,形成待证事实的阻断与补证路径,把硬事实需求路由到来源工单 通过 downgrades_output_when_evidence_missing 连接到 形成待证事实的阻断与补证路径,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-003-REL-A,SEM-V3-CONTROL-PLANE-GOVERNANCE-003,落层不确定时进入决策包,maps_scene_task_to_narrative_device,落层需要候选类型、目标归属、层注记和审查结果共同决定,落层不确定时进入决策包 通过 maps_scene_task_to_narrative_device 连接到 落层需要候选类型、目标归属、层注记和审查结果共同决定,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-003-REL-B,SEM-V3-CONTROL-PLANE-GOVERNANCE-003,当归属冲突时生成决策包,downgrades_output_when_evidence_missing,形成不确定归属的裁决入口,当归属冲突时生成决策包 通过 downgrades_output_when_evidence_missing 连接到 形成不确定归属的裁决入口,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-004-REL-A,SEM-V3-CONTROL-PLANE-GOVERNANCE-004,批量生成前的语义样板门槛,maps_scene_task_to_narrative_device,必须有审查结论、负例通过和状态锁证据,批量生成前的语义样板门槛 通过 maps_scene_task_to_narrative_device 连接到 必须有审查结论、负例通过和状态锁证据,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-004-REL-B,SEM-V3-CONTROL-PLANE-GOVERNANCE-004,只有语义样板通过后才讨论批量生成,downgrades_output_when_evidence_missing,形成批量生成前的硬门槛,只有语义样板通过后才讨论批量生成 通过 downgrades_output_when_evidence_missing 连接到 形成批量生成前的硬门槛,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-005-REL-A,SEM-V3-CONTROL-PLANE-GOVERNANCE-005,证据不足时输出降级路由,maps_scene_task_to_narrative_device,没有来源时不能保留性能、身体效果、真实实例说法,证据不足时输出降级路由 通过 maps_scene_task_to_narrative_device 连接到 没有来源时不能保留性能、身体效果、真实实例说法,false
SEM-V3-CONTROL-PLANE-GOVERNANCE-005-REL-B,SEM-V3-CONTROL-PLANE-GOVERNANCE-005,把缺证硬说法降级为观察或路由到补证,downgrades_output_when_evidence_missing,形成缺证情况下的安全输出路由,把缺证硬说法降级为观察或路由到补证 通过 downgrades_output_when_evidence_missing 连接到 形成缺证情况下的安全输出路由,false
