relation_id,subject_node_id,subject_node_label_zh,predicate_id,object_node_id,object_node_label_zh,condition_ref,evidence_requirement_ref,owner_scope,source_candidate_id
SEM-V4-APPAREL-CLAIM-BOUNDARY-002-REL-02,node_mkc_027_2_subject,连接 RS04-CL02 与 RS04-CL03 的品质证明类型,constrains_claim_type,node_mkc_027_2_object,连接 RS04-CL02 与 RS04-CL03 的品质证明类型,不同 claim 对应的证据类别,test_method_reference_type,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-002
SEM-V4-APPAREL-CLAIM-BOUNDARY-002-REL-03,node_mkc_027_3_subject,连接 P0-00 但不重写为控制面卡,translates_anchor_to_content_angle,node_mkc_027_3_object,连接 P0-00 但不重写为控制面卡,无证据时允许保留的最低表达层级,expert_method_reference_type,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-002
SEM-V4-DISPLAY-TO-CONTENT-001-REL-01,node_mkc_032_1_subject,连接Look拆解,requires_evidence_mode,node_mkc_032_1_object,连接Look拆解,入口区/中岛/端架/挂通等一般化区位表达,通用陈列区位术语资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-001
SEM-V4-DISPLAY-TO-CONTENT-001-REL-02,node_mkc_032_2_subject,连接日常动作观察,constrains_claim_type,node_mkc_032_2_object,连接日常动作观察,远景-中景-近景的观察切换,零售空间视觉观察资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-001
SEM-V4-DISPLAY-TO-CONTENT-001-REL-03,node_mkc_032_3_subject,连接SOP演示结构,translates_anchor_to_content_angle,node_mkc_032_3_object,连接SOP演示结构,静态陈列中的可拍摄重点,内容拍摄镜头语法资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-001
SEM-V4-DISPLAY-TO-CONTENT-002-REL-01,node_mkc_034_1_subject,依赖动作观察框架,requires_evidence_mode,node_mkc_034_1_object,依赖动作观察框架,动作镜头起承转合,内容结构方法资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-002
SEM-V4-DISPLAY-TO-CONTENT-002-REL-02,node_mkc_034_2_subject,依赖Look/色彩/区位锚点,constrains_claim_type,node_mkc_034_2_object,依赖Look/色彩/区位锚点,动作对应的解释槽位,短视频与图文内容切片资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-002
SEM-V4-DISPLAY-TO-CONTENT-002-REL-03,node_mkc_034_3_subject,受授权边界约束,translates_anchor_to_content_angle,node_mkc_034_3_object,受授权边界约束,强观察/弱解释的组合方式,培训演示转内容的方法资料,L3_ExecutionAssetCandidate,SEM-V4-DISPLAY-TO-CONTENT-002
SEM-V4-CONTROL-PLANE-GOVERNANCE-001-REL-01,node_mkc_004_1_subject,missing_source,routes_to_source_gap,node_mkc_004_1_object,source_gap,source_gap 触发模式,routing_reason_label,ControlPlaneContractSource,SEM-V4-CONTROL-PLANE-GOVERNANCE-001
SEM-V4-CONTROL-PLANE-GOVERNANCE-001-REL-02,node_mkc_004_2_subject,modeling_conflict,requires_decision_packet,node_mkc_004_2_object,decision_required,decision_required 触发模式,missing_source_marker,ControlPlaneContractSource,SEM-V4-CONTROL-PLANE-GOVERNANCE-001
SEM-V4-CONTROL-PLANE-GOVERNANCE-001-REL-03,node_mkc_004_3_subject,risk_sensitive_item,prohibits_target_owner,node_mkc_004_3_object,founder_review,founder_review 触发模式,modeling_conflict_marker,ControlPlaneContractSource,SEM-V4-CONTROL-PLANE-GOVERNANCE-001
SEM-V4-CONTROL-PLANE-GOVERNANCE-002-REL-01,node_mkc_006_1_subject,route_decision,routes_to_source_gap,node_mkc_006_1_object,allowed_asset_stub,研究型资产类型,asset_bindability_rule,DecisionPacketLedger,SEM-V4-CONTROL-PLANE-GOVERNANCE-002
SEM-V4-CONTROL-PLANE-GOVERNANCE-002-REL-02,node_mkc_006_2_subject,slot_completeness,requires_decision_packet,node_mkc_006_2_object,bindability,资产前置槽位,forbidden_object_type_guard,DecisionPacketLedger,SEM-V4-CONTROL-PLANE-GOVERNANCE-002
SEM-V4-CONTROL-PLANE-GOVERNANCE-002-REL-03,node_mkc_006_3_subject,review_only_label,prohibits_target_owner,node_mkc_006_3_object,non_production_asset_only,资产绑定排他条件,non_production_binding_label,DecisionPacketLedger,SEM-V4-CONTROL-PLANE-GOVERNANCE-002
