relation_id,source_draft_id,artifact_kind,subject_ref,subject_type,predicate_id,predicate_family,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002-03,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:restricted_expression_examples,type_specific_block_ref,downgrades_claim_to_observation_v43,claim_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:allowed_expression_examples,body_block_ref,claim_boundary 条目使用 restricted_expression_examples 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,restricted_expression_examples,连接 P0-00 但不重写为控制面卡,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-001-01,SEM-V4_3-DISPLAY-TO-CONTENT-001,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:input_condition,type_specific_block_ref,maps_zone_to_visual_focus_v43,display_execution,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:observation_target,body_block_ref,execution_asset 条目使用 input_condition 后才引用,profile_registry_design_hint_only,display_to_content,input_condition,连接Look拆解,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-001-02,SEM-V4_3-DISPLAY-TO-CONTENT-001,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:ordered_steps,type_specific_block_ref,orders_capture_steps_v43,display_execution,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:completion_condition,body_block_ref,execution_asset 条目使用 ordered_steps 后才引用,profile_registry_design_hint_only,display_to_content,ordered_steps,连接日常动作观察,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-001-03,SEM-V4_3-DISPLAY-TO-CONTENT-001,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:stop_condition,type_specific_block_ref,stops_when_privacy_or_authorization_missing_v43,temporal_execution,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:authorization_or_privacy_boundary,body_block_ref,execution_asset 条目使用 stop_condition 后才引用,profile_registry_design_hint_only,display_to_content,stop_condition,连接SOP演示结构,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-001-04,SEM-V4_3-DISPLAY-TO-CONTENT-001,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:camera_or_explanation_slot,type_specific_block_ref,binds_action_to_explanation_slot_v43,temporal_execution,SEM-V4_3-DISPLAY-TO-CONTENT-001:block:ordered_steps,body_block_ref,execution_asset 条目使用 camera_or_explanation_slot 后才引用,profile_registry_design_hint_only,display_to_content,camera_or_explanation_slot,连接Look拆解,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-002-01,SEM-V4_3-DISPLAY-TO-CONTENT-002,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:ordered_steps,type_specific_block_ref,orders_capture_steps_v43,display_execution,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:completion_condition,body_block_ref,execution_asset 条目使用 ordered_steps 后才引用,profile_registry_design_hint_only,display_to_content,ordered_steps,依赖动作观察框架,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-002-02,SEM-V4_3-DISPLAY-TO-CONTENT-002,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:camera_or_explanation_slot,type_specific_block_ref,binds_action_to_explanation_slot_v43,temporal_execution,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:observation_target,body_block_ref,execution_asset 条目使用 camera_or_explanation_slot 后才引用,profile_registry_design_hint_only,display_to_content,camera_or_explanation_slot,依赖Look/色彩/区位锚点,design_hint_not_ontology_edge
RDH-SEM-V4_3-DISPLAY-TO-CONTENT-002-03,SEM-V4_3-DISPLAY-TO-CONTENT-002,execution_asset_outbox_candidate,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:stop_condition,type_specific_block_ref,stops_when_privacy_or_authorization_missing_v43,temporal_execution,SEM-V4_3-DISPLAY-TO-CONTENT-002:block:authorization_or_privacy_boundary,body_block_ref,execution_asset 条目使用 stop_condition 后才引用,profile_registry_design_hint_only,display_to_content,stop_condition,受授权边界约束,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001-01,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001,control_plane_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001:block:route_target,type_specific_block_ref,routes_risk_sensitive_item_to_founder_review_v43,control_plane_route,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001:block:reentry,body_block_ref,control_plane 条目使用 route_target 后才引用,profile_registry_design_hint_only,governance_control_plane,route_target,risk_sensitive_item -> founder_review,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001-02,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001,control_plane_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001:block:prohibited_transition,type_specific_block_ref,blocks_batch_generation_on_unresolved_route_v43,state_guard,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-001:block:ledger_write,body_block_ref,control_plane 条目使用 prohibited_transition 后才引用,profile_registry_design_hint_only,governance_control_plane,prohibited_transition,modeling_conflict -> decision_required,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002-01,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002,governance_outbox_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:asset_stub_shape,type_specific_block_ref,defines_review_only_asset_stub_v43,asset_binding_policy,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:review_only_label,body_block_ref,asset_binding_policy 条目使用 asset_stub_shape 后才引用,profile_registry_design_hint_only,governance_control_plane,asset_stub_shape,route_decision -> allowed_asset_stub,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002-02,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002,governance_outbox_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:non_production_seal,type_specific_block_ref,seals_non_production_binding_v43,asset_binding_policy,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:forbidden_binding,body_block_ref,asset_binding_policy 条目使用 non_production_seal 后才引用,profile_registry_design_hint_only,governance_control_plane,non_production_seal,review_only_label -> non_production_asset_only,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002-03,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002,governance_outbox_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:bindability_condition,type_specific_block_ref,blocks_binding_without_source_or_owner_v43,state_guard,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:forbidden_binding,body_block_ref,asset_binding_policy 条目使用 bindability_condition 后才引用,profile_registry_design_hint_only,governance_control_plane,bindability_condition,slot_completeness -> bindability,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002-04,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002,governance_outbox_candidate,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:reslice_target,type_specific_block_ref,routes_asset_binding_policy_to_governance_outbox_v43,asset_binding_policy,SEM-V4_3-CONTROL-PLANE-GOVERNANCE-002:block:governance_outbox_route,body_block_ref,asset_binding_policy 条目使用 reslice_target 后才引用,profile_registry_design_hint_only,governance_control_plane,reslice_target,conflict_pair -> block_or_split,design_hint_not_ontology_edge
