relation_id,candidate_id,canonical_cluster_id,relation_from,relation_to,relation_hint,relation_status,formal_ontology_edge_allowed,ontology_edge_created,human_review_required_for_relation
PROOF-MB-001-005-REL-02,PROOF-MB-001-005,mkc_011,authority_signal,evidence_requirement,authority_signal -> evidence_requirement,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-005-REL-03,PROOF-MB-001-005,mkc_011,instance_fact_dependency,evidence_question,instance_fact_dependency -> evidence_question,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-005-REL-04,PROOF-MB-001-005,mkc_011,sensitive_promise,decision_required,sensitive_promise -> decision_required,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-006-REL-01,PROOF-MB-001-006,mkc_012,master_narrative,series_axis,master_narrative -> series_axis,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-006-REL-02,PROOF-MB-001-006,mkc_012,series_axis,episode_unit,series_axis -> episode_unit,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-006-REL-03,PROOF-MB-001-006,mkc_012,episode_unit,proof_slot_distribution,episode_unit -> proof_slot_distribution,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-006-REL-04,PROOF-MB-001-006,mkc_012,sequence_order,repetition_control,sequence_order -> repetition_control,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-007-REL-01,PROOF-MB-001-007,mkc_013,role_subject,narrative_stance,role_subject -> narrative_stance,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-007-REL-02,PROOF-MB-001-007,mkc_013,narrative_stance,information_density,narrative_stance -> information_density,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-007-REL-03,PROOF-MB-001-007,mkc_013,role_subject,allowed_action_words,role_subject -> allowed_action_words,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-007-REL-04,PROOF-MB-001-007,mkc_013,role_subject,allowed_observation_words,role_subject -> allowed_observation_words,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-007-REL-05,PROOF-MB-001-007,mkc_013,role_boundary,de_personalized_voice,role_boundary -> de_personalized_voice,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-008-REL-01,PROOF-MB-001-008,mkc_014,scene_intensity,tone_strength,scene_intensity -> tone_strength,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-008-REL-02,PROOF-MB-001-008,mkc_014,material_strength,assertion_limit,material_strength -> assertion_limit,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-008-REL-03,PROOF-MB-001-008,mkc_014,persona_surface,style_without_identity,persona_surface -> style_without_identity,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-008-REL-04,PROOF-MB-001-008,mkc_014,high_risk_claim,softened_observation,high_risk_claim -> softened_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-008-REL-05,PROOF-MB-001-008,mkc_014,tone_strength,evidence_boundary_preserved,tone_strength -> evidence_boundary_preserved,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-009-REL-01,PROOF-MB-001-009,mkc_015,role_function_layer,content_responsibility,role_function_layer -> content_responsibility,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-009-REL-02,PROOF-MB-001-009,mkc_015,content_responsibility,observation_interface,content_responsibility -> observation_interface,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-009-REL-03,PROOF-MB-001-009,mkc_015,role_function_layer,information_granularity,role_function_layer -> information_granularity,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-009-REL-04,PROOF-MB-001-009,mkc_015,public_role_grid,reusable_content_angle,public_role_grid -> reusable_content_angle,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-009-REL-05,PROOF-MB-001-009,mkc_015,private_org_fact,excluded_from_grid,private_org_fact -> excluded_from_grid,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-010-REL-01,PROOF-MB-001-010,mkc_016,same_object,role_specific_name,same_object -> role_specific_name,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-010-REL-02,PROOF-MB-001-010,mkc_016,role_specific_name,explanation_focus,role_specific_name -> explanation_focus,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-010-REL-03,PROOF-MB-001-010,mkc_016,context_switch,public_safe_filter,context_switch -> public_safe_filter,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-010-REL-04,PROOF-MB-001-010,mkc_016,private_operations_signal,route_away,private_operations_signal -> route_away,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-010-REL-05,PROOF-MB-001-010,mkc_016,public_safe_view,generalized_method_expression,public_safe_view -> generalized_method_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-011-REL-01,PROOF-MB-001-011,mkc_017,knowledge_distance,explanation_depth,knowledge_distance -> explanation_depth,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-011-REL-02,PROOF-MB-001-011,mkc_017,decision_stage,information_sequence,decision_stage -> information_sequence,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-011-REL-03,PROOF-MB-001-011,mkc_017,interaction_intensity,role_voice_density,interaction_intensity -> role_voice_density,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-011-REL-04,PROOF-MB-001-011,mkc_017,audience_stage_model,no_real_user_profile,audience_stage_model -> no_real_user_profile,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-011-REL-05,PROOF-MB-001-011,mkc_017,role_voice,adjusted_explanation_density,role_voice -> adjusted_explanation_density,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-012-REL-01,PROOF-MB-001-012,mkc_018,emotion_temperature,expression_distance,emotion_temperature -> expression_distance,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-012-REL-02,PROOF-MB-001-012,mkc_018,low_risk_trust_signal,readability_support,low_risk_trust_signal -> readability_support,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-012-REL-03,PROOF-MB-001-012,mkc_018,strong_evidence_signal,source_required_claim,strong_evidence_signal -> source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-012-REL-04,PROOF-MB-001-012,mkc_018,unsupported_trust_claim,downgrade_to_observation,unsupported_trust_claim -> downgrade_to_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-012-REL-05,PROOF-MB-001-012,mkc_018,emotion,not_evidence,emotion -> not_evidence,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-013-REL-01,PROOF-MB-001-013,mkc_019,speakable_method_layer,role_expression_allowed,speakable_method_layer -> role_expression_allowed,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-013-REL-02,PROOF-MB-001-013,mkc_019,not_speakable_fact_layer,authorization_required,not_speakable_fact_layer -> authorization_required,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-013-REL-03,PROOF-MB-001-013,mkc_019,default_endorsement_signal,authority_overclaim,default_endorsement_signal -> authority_overclaim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-013-REL-04,PROOF-MB-001-013,mkc_019,overclaim_statement,split_method_source_required_prohibited,overclaim_statement -> split_method_source_required_prohibited,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-013-REL-05,PROOF-MB-001-013,mkc_019,real_identity_hint,remove_or_deauthorize,real_identity_hint -> remove_or_deauthorize,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-014-REL-01,PROOF-MB-001-014,mkc_020,category_family,attribute_slot_group,category_family -> attribute_slot_group,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-014-REL-02,PROOF-MB-001-014,mkc_020,attribute_slot_group,claim_boundary_entry,attribute_slot_group -> claim_boundary_entry,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-014-REL-03,PROOF-MB-001-014,mkc_020,category_description,sku_fact_cutoff,category_description -> sku_fact_cutoff,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-014-REL-04,PROOF-MB-001-014,mkc_020,category_slot_gap,neutral_question_prompt,category_slot_gap -> neutral_question_prompt,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-015-REL-01,PROOF-MB-001-015,mkc_021,comparison_dimension,allowed_observation,comparison_dimension -> allowed_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-015-REL-02,PROOF-MB-001-015,mkc_021,comparison_dimension,prohibited_effect_claim,comparison_dimension -> prohibited_effect_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-015-REL-03,PROOF-MB-001-015,mkc_021,unknown_comparison_item,downgrade_expression,unknown_comparison_item -> downgrade_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-015-REL-04,PROOF-MB-001-015,mkc_021,comparative_superiority,source_required_claim,comparative_superiority -> source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-016-REL-01,PROOF-MB-001-016,mkc_022,fiber_layer,yarn_layer,fiber_layer -> yarn_layer,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-016-REL-02,PROOF-MB-001-016,mkc_022,yarn_layer,fabric_structure,yarn_layer -> fabric_structure,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-016-REL-03,PROOF-MB-001-016,mkc_022,fabric_structure,observable_surface_cue,fabric_structure -> observable_surface_cue,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-016-REL-04,PROOF-MB-001-016,mkc_022,performance_word,source_required_claim,performance_word -> source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-017-REL-01,PROOF-MB-001-017,mkc_023,color_dimension,visual_observation,color_dimension -> visual_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-017-REL-02,PROOF-MB-001-017,mkc_023,lighting_condition,color_perception_shift,lighting_condition -> color_perception_shift,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-017-REL-03,PROOF-MB-001-017,mkc_023,color_story,quality_claim_cutoff,color_story -> quality_claim_cutoff,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-017-REL-04,PROOF-MB-001-017,mkc_023,complexion_effect_word,downgrade_expression,complexion_effect_word -> downgrade_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-018-REL-01,PROOF-MB-001-018,mkc_024,fit_term,structural_observation,fit_term -> structural_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-018-REL-02,PROOF-MB-001-018,mkc_024,silhouette_line,visual_relation,silhouette_line -> visual_relation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-018-REL-03,PROOF-MB-001-018,mkc_024,ease_amount,wearing_condition_note,ease_amount -> wearing_condition_note,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-018-REL-04,PROOF-MB-001-018,mkc_024,body_effect_word,claim_boundary,body_effect_word -> claim_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-019-REL-01,PROOF-MB-001-019,mkc_025,visible_craft_node,explanation_order,visible_craft_node -> explanation_order,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-019-REL-02,PROOF-MB-001-019,mkc_025,construction_detail,observation_cue,construction_detail -> observation_cue,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-019-REL-03,PROOF-MB-001-019,mkc_025,craft_name,function_claim_cutoff,craft_name -> function_claim_cutoff,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-019-REL-04,PROOF-MB-001-019,mkc_025,process_story_gap,source_required_claim,process_story_gap -> source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-020-REL-01,PROOF-MB-001-020,mkc_026,observation_word,low_risk_visual_statement,observation_word -> low_risk_visual_statement,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-020-REL-02,PROOF-MB-001-020,mkc_026,relation_word,conditional_visual_relation,relation_word -> conditional_visual_relation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-020-REL-03,PROOF-MB-001-020,mkc_026,body_result_word,prohibited_or_source_required_claim,body_result_word -> prohibited_or_source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-020-REL-04,PROOF-MB-001-020,mkc_026,scene_cue,non_conclusive_observation,scene_cue -> non_conclusive_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-021-REL-01,PROOF-MB-001-021,mkc_027,comfort_word,subjective_experience_claim,comfort_word -> subjective_experience_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-021-REL-02,PROOF-MB-001-021,mkc_027,performance_word,test_or_source_required_claim,performance_word -> test_or_source_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-021-REL-03,PROOF-MB-001-021,mkc_027,durability_word,proof_required_claim,durability_word -> proof_required_claim,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-021-REL-04,PROOF-MB-001-021,mkc_027,evidence_absence,downgrade_to_observation,evidence_absence -> downgrade_to_observation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-022-REL-01,PROOF-MB-001-022,mkc_028,quality_observation,proof_type,quality_observation -> proof_type,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-022-REL-02,PROOF-MB-001-022,mkc_028,proof_type,claim_routing,proof_type -> claim_routing,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-022-REL-03,PROOF-MB-001-022,mkc_028,certification_signal,higher_evidence_need,certification_signal -> higher_evidence_need,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-022-REL-04,PROOF-MB-001-022,mkc_028,unsupported_proof,source_gap,unsupported_proof -> source_gap,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-023-REL-01,PROOF-MB-001-023,mkc_029,object_cue,camera_cue,object_cue -> camera_cue,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-023-REL-02,PROOF-MB-001-023,mkc_029,camera_cue,explanation_slot,camera_cue -> explanation_slot,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-023-REL-03,PROOF-MB-001-023,mkc_029,explanation_slot,claim_boundary,explanation_slot -> claim_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-023-REL-04,PROOF-MB-001-023,mkc_029,process_detail,filmability,process_detail -> filmability,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-024-REL-01,PROOF-MB-001-024,mkc_030,look_layer,observation_node,look_layer -> observation_node,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-024-REL-02,PROOF-MB-001-024,mkc_030,foreground_subject_companion,shot_structure,foreground_subject_companion -> shot_structure,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-024-REL-03,PROOF-MB-001-024,mkc_030,group_display,look_decomposition,group_display -> look_decomposition,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-024-REL-04,PROOF-MB-001-024,mkc_030,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-025-REL-01,PROOF-MB-001-025,mkc_031,theme_word,color_group,theme_word -> color_group,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-025-REL-02,PROOF-MB-001-025,mkc_031,main_secondary_accent_color,observation_order,main_secondary_accent_color -> observation_order,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-025-REL-03,PROOF-MB-001-025,mkc_031,color_story,look_structure,color_story -> look_structure,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-025-REL-04,PROOF-MB-001-025,mkc_031,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-026-REL-01,PROOF-MB-001-026,mkc_032,display_zone,observation_entry,display_zone -> observation_entry,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-026-REL-02,PROOF-MB-001-026,mkc_032,shot_distance,visual_anchor,shot_distance -> visual_anchor,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-026-REL-03,PROOF-MB-001-026,mkc_032,static_display,camera_focus,static_display -> camera_focus,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-026-REL-04,PROOF-MB-001-026,mkc_032,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-027-REL-01,PROOF-MB-001-027,mkc_033,action_precondition,action_slice,action_precondition -> action_slice,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-027-REL-02,PROOF-MB-001-027,mkc_033,action_object,content_condition,action_object -> content_condition,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-027-REL-03,PROOF-MB-001-027,mkc_033,completion_marker,output_asset,completion_marker -> output_asset,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-027-REL-04,PROOF-MB-001-027,mkc_033,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-028-REL-01,PROOF-MB-001-028,mkc_034,store_action,demonstration_segment,store_action -> demonstration_segment,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-028-REL-02,PROOF-MB-001-028,mkc_034,demonstration_segment,explanation_slot,demonstration_segment -> explanation_slot,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-028-REL-03,PROOF-MB-001-028,mkc_034,observation_strength,wording_level,observation_strength -> wording_level,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-028-REL-04,PROOF-MB-001-028,mkc_034,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-029-REL-01,PROOF-MB-001-029,mkc_035,privacy_signal,stop_or_generalize,privacy_signal -> stop_or_generalize,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-029-REL-02,PROOF-MB-001-029,mkc_035,instance_fact_signal,source_gap_hint,instance_fact_signal -> source_gap_hint,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-029-REL-03,PROOF-MB-001-029,mkc_035,role_expression,generalized_role_surface,role_expression -> generalized_role_surface,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-029-REL-04,PROOF-MB-001-029,mkc_035,risk_signal,safe_fallback,risk_signal -> safe_fallback,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-030-REL-01,PROOF-MB-001-030,mkc_036,precheck_node,implementation_node,precheck_node -> implementation_node,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-030-REL-02,PROOF-MB-001-030,mkc_036,implementation_node,recheck_node,implementation_node -> recheck_node,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-030-REL-03,PROOF-MB-001-030,mkc_036,node_input,node_output,node_input -> node_output,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-030-REL-04,PROOF-MB-001-030,mkc_036,stop_condition,output_boundary,stop_condition -> output_boundary,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-031-REL-01,PROOF-MB-001-031,mkc_037,retail_role,speakable_action,retail_role -> speakable_action,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-031-REL-02,PROOF-MB-001-031,mkc_037,permission_surface,generalized_rewrite,permission_surface -> generalized_rewrite,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-031-REL-03,PROOF-MB-001-031,mkc_037,franchise_fact_signal,route_away,franchise_fact_signal -> route_away,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-031-REL-04,PROOF-MB-001-031,mkc_037,risk_signal,safe_fallback,risk_signal -> safe_fallback,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-032-REL-01,PROOF-MB-001-032,mkc_038,missing_node,local_fallback,missing_node -> local_fallback,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-032-REL-02,PROOF-MB-001-032,mkc_038,insufficient_evidence,source_gap_hint,insufficient_evidence -> source_gap_hint,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-032-REL-03,PROOF-MB-001-032,mkc_038,unclear_permission,decision_required_hint,unclear_permission -> decision_required_hint,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-032-REL-04,PROOF-MB-001-032,mkc_038,risk_signal,safe_fallback,risk_signal -> safe_fallback,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-033-REL-01,PROOF-MB-001-033,mkc_039,first_appearance_position,product_role_name,first_appearance_position -> product_role_name,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-033-REL-02,PROOF-MB-001-033,mkc_039,product_role_name,narrative_section,product_role_name -> narrative_section,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-033-REL-03,PROOF-MB-001-033,mkc_039,narrative_section,scene_task_binding,narrative_section -> scene_task_binding,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-033-REL-04,PROOF-MB-001-033,mkc_039,visible_detail,education_node,visible_detail -> education_node,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-034-REL-01,PROOF-MB-001-034,mkc_040,education_condition,cta_permission,education_condition -> cta_permission,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-034-REL-02,PROOF-MB-001-034,mkc_040,cta_density,low_pressure_action,cta_density -> low_pressure_action,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-034-REL-03,PROOF-MB-001-034,mkc_040,product_fact_isolation,no_sales_overreach,product_fact_isolation -> no_sales_overreach,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-034-REL-04,PROOF-MB-001-034,mkc_040,display_or_scene_cue,observation_prompt,display_or_scene_cue -> observation_prompt,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-035-REL-01,PROOF-MB-001-035,mkc_041,abstract_lifecycle_stage,narrative_task,abstract_lifecycle_stage -> narrative_task,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-035-REL-02,PROOF-MB-001-035,mkc_041,narrative_task,education_focus,narrative_task -> education_focus,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-035-REL-03,PROOF-MB-001-035,mkc_041,abstract_stage,cta_strength_ceiling,abstract_stage -> cta_strength_ceiling,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-035-REL-04,PROOF-MB-001-035,mkc_041,business_status,prohibited_instance_fact,business_status -> prohibited_instance_fact,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-036-REL-01,PROOF-MB-001-036,mkc_042,assortment_role,primary_secondary_relation,assortment_role -> primary_secondary_relation,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-036-REL-02,PROOF-MB-001-036,mkc_042,supporting_item,explanation_function,supporting_item -> explanation_function,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-036-REL-03,PROOF-MB-001-036,mkc_042,channel_context,information_reduction_rule,channel_context -> information_reduction_rule,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-036-REL-04,PROOF-MB-001-036,mkc_042,theme_grouping,product_role_combination,theme_grouping -> product_role_combination,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-037-REL-01,PROOF-MB-001-037,mkc_043,scene_task,fit_condition,scene_task -> fit_condition,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-037-REL-02,PROOF-MB-001-037,mkc_043,action_limit,unsuitable_condition,action_limit -> unsuitable_condition,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-037-REL-03,PROOF-MB-001-037,mkc_043,scene_switch,product_role_shift,scene_switch -> product_role_shift,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-037-REL-04,PROOF-MB-001-037,mkc_043,fit_confidence,cta_strength_ceiling,fit_confidence -> cta_strength_ceiling,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-038-REL-01,PROOF-MB-001-038,mkc_044,usage_education,allowed_instruction,usage_education -> allowed_instruction,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-038-REL-02,PROOF-MB-001-038,mkc_044,demonstration,observation_only,demonstration -> observation_only,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-038-REL-03,PROOF-MB-001-038,mkc_044,comparison_wording,evidence_requirement,comparison_wording -> evidence_requirement,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-038-REL-04,PROOF-MB-001-038,mkc_044,result_claim,downgrade_or_source_needed,result_claim -> downgrade_or_source_needed,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-039-REL-01,PROOF-MB-001-039,mkc_045,product_role,display_position,product_role -> display_position,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-039-REL-02,PROOF-MB-001-039,mkc_045,adjacent_object,narrative_emphasis,adjacent_object -> narrative_emphasis,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-039-REL-03,PROOF-MB-001-039,mkc_045,primary_secondary_level,shot_order,primary_secondary_level -> shot_order,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-039-REL-04,PROOF-MB-001-039,mkc_045,display_cue,shot_hint,display_cue -> shot_hint,design_hint_not_ontology_edge,False,False,True
