relation_id,source_draft_id,subject_ref,subject_type,predicate_id,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001-05,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:minimum_contrast_examples,type_specific_block_ref,routes_exception_to_state,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-001:block:evidence_threshold_by_claim_strength,body_block_ref,claim_boundary 条目使用 minimum_contrast_examples 判断后才引用,claim_policy_reference,apparel_claim_boundary,minimum_contrast_examples,承接 RS02-CL02 与 RS02-CL03,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002-01,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002:block:claim_type_ladder,type_specific_block_ref,writes_reentry_condition,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002:block:allowed_expression_examples,body_block_ref,claim_boundary 条目使用 claim_type_ladder 判断后才引用,standard_reference_type,apparel_claim_boundary,claim_type_ladder,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,design_hint_not_ontology_edge
RDH-SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002-02,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002:block:allowed_expression_examples,type_specific_block_ref,sets_default_safe_action,SEM-V4_2-APPAREL-CLAIM-BOUNDARY-002:block:restricted_expression_examples,body_block_ref,claim_boundary 条目使用 allowed_expression_examples 判断后才引用,test_method_reference_type,apparel_claim_boundary,allowed_expression_examples,连接 RS04-CL02 与 RS04-CL03 的品质证明类型,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-001-01,SEM-V4_2-DISPLAY-TO-CONTENT-001,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:input_signal,type_specific_block_ref,records_unresolved_input,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:spatial_or_temporal_logic,body_block_ref,execution_asset 条目使用 input_signal 判断后才引用,通用陈列区位术语资料,display_to_content,input_signal,连接Look拆解,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-001-02,SEM-V4_2-DISPLAY-TO-CONTENT-001,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:spatial_or_temporal_logic,type_specific_block_ref,splits_asset_conflict,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:ordered_steps,body_block_ref,execution_asset 条目使用 spatial_or_temporal_logic 判断后才引用,零售空间视觉观察资料,display_to_content,spatial_or_temporal_logic,连接日常动作观察,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-001-03,SEM-V4_2-DISPLAY-TO-CONTENT-001,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:ordered_steps,type_specific_block_ref,blocks_production_binding,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:observable_completion_condition,body_block_ref,execution_asset 条目使用 ordered_steps 判断后才引用,内容拍摄镜头语法资料,display_to_content,ordered_steps,连接SOP演示结构,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-001-04,SEM-V4_2-DISPLAY-TO-CONTENT-001,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:observable_completion_condition,type_specific_block_ref,connects_value_expression_to_proof,SEM-V4_2-DISPLAY-TO-CONTENT-001:block:failure_or_stop_condition,body_block_ref,execution_asset 条目使用 observable_completion_condition 判断后才引用,通用陈列区位术语资料,display_to_content,observable_completion_condition,连接Look拆解,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-002-01,SEM-V4_2-DISPLAY-TO-CONTENT-002,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:input_signal,type_specific_block_ref,links_constraint_to_tradeoff,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:spatial_or_temporal_logic,body_block_ref,execution_asset 条目使用 input_signal 判断后才引用,内容结构方法资料,display_to_content,input_signal,依赖动作观察框架,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-002-02,SEM-V4_2-DISPLAY-TO-CONTENT-002,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:spatial_or_temporal_logic,type_specific_block_ref,links_ladder_to_phrase_example,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:ordered_steps,body_block_ref,execution_asset 条目使用 spatial_or_temporal_logic 判断后才引用,短视频与图文内容切片资料,display_to_content,spatial_or_temporal_logic,依赖Look/色彩/区位锚点,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-002-03,SEM-V4_2-DISPLAY-TO-CONTENT-002,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:ordered_steps,type_specific_block_ref,links_test_absence_to_gap,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:observable_completion_condition,body_block_ref,execution_asset 条目使用 ordered_steps 判断后才引用,培训演示转内容的方法资料,display_to_content,ordered_steps,受授权边界约束,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-002-04,SEM-V4_2-DISPLAY-TO-CONTENT-002,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:observable_completion_condition,type_specific_block_ref,maps_spatial_signal_to_asset_shape,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:failure_or_stop_condition,body_block_ref,execution_asset 条目使用 observable_completion_condition 判断后才引用,通用培训演示设计资料,display_to_content,observable_completion_condition,依赖SOP节点化框架,design_hint_not_ontology_edge
RDH-SEM-V4_2-DISPLAY-TO-CONTENT-002-05,SEM-V4_2-DISPLAY-TO-CONTENT-002,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:failure_or_stop_condition,type_specific_block_ref,maps_temporal_signal_to_asset_shape,SEM-V4_2-DISPLAY-TO-CONTENT-002:block:shot_or_action_slot_mapping,body_block_ref,execution_asset 条目使用 failure_or_stop_condition 判断后才引用,内容结构方法资料,display_to_content,failure_or_stop_condition,依赖动作观察框架,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001-01,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:trigger_condition,type_specific_block_ref,blocks_forbidden_transition,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:state_transition,body_block_ref,control_plane 条目使用 trigger_condition 判断后才引用,routing_reason_label,governance_control_plane,trigger_condition,missing_source -> source_gap,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001-02,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:state_transition,type_specific_block_ref,assigns_decision_owner,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:route_target,body_block_ref,control_plane 条目使用 state_transition 判断后才引用,missing_source_marker,governance_control_plane,state_transition,modeling_conflict -> decision_required,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001-03,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:route_target,type_specific_block_ref,keeps_research_material_sealed,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-001:block:ledger_write,body_block_ref,control_plane 条目使用 route_target 判断后才引用,modeling_conflict_marker,governance_control_plane,route_target,risk_sensitive_item -> founder_review,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002-01,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:decision_question,type_specific_block_ref,records_impacted_layer,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:options,body_block_ref,decision_packet 条目使用 decision_question 判断后才引用,asset_bindability_rule,governance_control_plane,decision_question,route_decision -> allowed_asset_stub,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002-02,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:options,type_specific_block_ref,separates_expression_strength,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:decision_owner,body_block_ref,decision_packet 条目使用 options 判断后才引用,forbidden_object_type_guard,governance_control_plane,options,slot_completeness -> bindability,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002-03,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:decision_owner,type_specific_block_ref,validates_reentry_gate,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:impacted_contract_or_layer,body_block_ref,decision_packet 条目使用 decision_owner 判断后才引用,non_production_binding_label,governance_control_plane,decision_owner,review_only_label -> non_production_asset_only,design_hint_not_ontology_edge
RDH-SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002-04,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:impacted_contract_or_layer,type_specific_block_ref,anchors_shot_completion,SEM-V4_2-CONTROL-PLANE-GOVERNANCE-002:block:default_safe_action,body_block_ref,decision_packet 条目使用 impacted_contract_or_layer 判断后才引用,conflict_split_marker,governance_control_plane,impacted_contract_or_layer,conflict_pair -> block_or_split,design_hint_not_ontology_edge
