relation_id,source_draft_id,subject_ref,subject_type,predicate_id,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002-02,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002,sem-v4_1-apparel-claim-boundary-002:证据类别匹配,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-apparel-claim-boundary-002:缝线密度,body_proposition_ref,仅当正文第p3段可被人工复核时使用,test_method_reference_type,apparel_claim_boundary,p3,连接 RS04-CL02 与 RS04-CL03 的品质证明类型,design_hint_not_ontology_edge
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002-03,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002,sem-v4_1-apparel-claim-boundary-002:最低表达保留,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-apparel-claim-boundary-002:弹力恢复,owner_model_ref,仅当正文第p4段可被人工复核时使用,expert_method_reference_type,apparel_claim_boundary,p4,连接 P0-00 但不重写为控制面卡,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-001-01,SEM-V4_1-DISPLAY-TO-CONTENT-001,sem-v4_1-display-to-content-001:区位识别,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-display-to-content-001:入口区第一眼,body_proposition_ref,仅当正文第p1段可被人工复核时使用,通用陈列区位术语资料,display_to_content,p1,连接Look拆解,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-001-02,SEM-V4_1-DISPLAY-TO-CONTENT-001,sem-v4_1-display-to-content-001:远中近景切换,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-display-to-content-001:中岛组合,body_proposition_ref,仅当正文第p3段可被人工复核时使用,零售空间视觉观察资料,display_to_content,p3,连接日常动作观察,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-001-03,SEM-V4_1-DISPLAY-TO-CONTENT-001,sem-v4_1-display-to-content-001:静态重点提取,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-display-to-content-001:端架重点,owner_model_ref,仅当正文第p4段可被人工复核时使用,内容拍摄镜头语法资料,display_to_content,p4,连接SOP演示结构,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-002-01,SEM-V4_1-DISPLAY-TO-CONTENT-002,sem-v4_1-display-to-content-002:动作起承转合,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-display-to-content-002:取下衣架,body_proposition_ref,仅当正文第p1段可被人工复核时使用,内容结构方法资料,display_to_content,p1,依赖动作观察框架,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-002-02,SEM-V4_1-DISPLAY-TO-CONTENT-002,sem-v4_1-display-to-content-002:解释槽位配置,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-display-to-content-002:整理领口,body_proposition_ref,仅当正文第p3段可被人工复核时使用,短视频与图文内容切片资料,display_to_content,p3,依赖Look/色彩/区位锚点,design_hint_not_ontology_edge
RDH-SEM-V4_1-DISPLAY-TO-CONTENT-002-03,SEM-V4_1-DISPLAY-TO-CONTENT-002,sem-v4_1-display-to-content-002:强观察弱解释,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-display-to-content-002:比较面料,owner_model_ref,仅当正文第p4段可被人工复核时使用,培训演示转内容的方法资料,display_to_content,p4,受授权边界约束,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001-01,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001,sem-v4_1-control-plane-governance-001:缺源触发,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-control-plane-governance-001:缺少来源标记,body_proposition_ref,仅当正文第p1段可被人工复核时使用,routing_reason_label,governance_control_plane,p1,missing_source -> source_gap,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001-02,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001,sem-v4_1-control-plane-governance-001:建模冲突触发,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-control-plane-governance-001:模型冲突标记,body_proposition_ref,仅当正文第p3段可被人工复核时使用,missing_source_marker,governance_control_plane,p3,modeling_conflict -> decision_required,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001-03,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-001,sem-v4_1-control-plane-governance-001:风险复核触发,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-control-plane-governance-001:敏感风险标记,owner_model_ref,仅当正文第p4段可被人工复核时使用,modeling_conflict_marker,governance_control_plane,p4,risk_sensitive_item -> founder_review,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002-01,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002,sem-v4_1-control-plane-governance-002:资产类型识别,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-control-plane-governance-002:研究说明,body_proposition_ref,仅当正文第p1段可被人工复核时使用,asset_bindability_rule,governance_control_plane,p1,route_decision -> allowed_asset_stub,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002-02,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002,sem-v4_1-control-plane-governance-002:前置槽位完整性,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-control-plane-governance-002:资产占位体,body_proposition_ref,仅当正文第p3段可被人工复核时使用,forbidden_object_type_guard,governance_control_plane,p3,slot_completeness -> bindability,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002-03,SEM-V4_1-CONTROL-PLANE-GOVERNANCE-002,sem-v4_1-control-plane-governance-002:绑定排他条件,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-control-plane-governance-002:非生产标签,owner_model_ref,仅当正文第p4段可被人工复核时使用,non_production_binding_label,governance_control_plane,p4,review_only_label -> non_production_asset_only,design_hint_not_ontology_edge
